instruction[8..0] sub_stage[2..0] carry barrow comp | RSC MA_In M_I M_O IR_I IR_O PC_O PC_Up PC_jmp ALU_inst[3..0] A_I A_O N1_I N1_O N2_I N2_O R0I R0O R1I R1O R2I R2O
    100101101           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101110           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101110           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101110           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101110           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101110           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101111           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101111           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101111           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101111           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100101111           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110000           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110000           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110000           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110000           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110000           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110001           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110001           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110001           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110001           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110001           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110010           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110010           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110010           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110010           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110010           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110011           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110011           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110011           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110011           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110011           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110100           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110100           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110100           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110100           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110100           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110101           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110101           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110101           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110101           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    100110101           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
